,year,region_x,indicator,value,x_x,y_x,region_y,driving_licenses,x_y,y_y
127,2016,Al-Jouf,No. of Casualties - Injured,920,29.9677445762, 39.5570371172,Riyadh,242851,,
128,2016,Al-Jouf,No. of Casualties - Injured,920,29.9677445762, 39.5570371172,Al-Jouf,9371,,
129,2016,Al-Jouf,No. of Casualties - Injured,920,29.9677445762, 39.5570371172,Tabouk,13610,,
130,2016,Madinah,No. of Casualties - Dead,822,24.927534539, 39.4918237173,Al-Baha,4614,27.400845724, 41.4406960508
131,2016,Madinah,No. of Casualties - Dead,822,24.927534539, 39.4918237173,Northern Boarder,4958,,
132,2016,Madinah,No. of Casualties - Dead,822,24.927534539, 39.4918237173,Najran,2153,,
133,2016,Madinah,No. of Casualties - Dead,822,24.927534539, 39.4918237173,Makkah,136055,,
134,2016,Madinah,No. of Casualties - Dead,822,24.927534539, 39.4918237173,Madinah,24540,,
135,2016,Madinah,No. of Casualties - Dead,822,24.927534539, 39.4918237173,Al-Qaseem,9180,,
136,2016,Madinah,No. of Casualties - Dead,822,24.927534539, 39.4918237173,Hail,54507,,
137,2016,Madinah,No. of Casualties - Dead,822,24.927534539, 39.4918237173,Eastern,142307,,
138,2016,Madinah,No. of Casualties - Dead,822,24.927534539, 39.4918237173,Assir,41367,,
139,2016,Madinah,No. of Casualties - Dead,822,24.927534539, 39.4918237173,Jazan,11504,,
140,2016,Madinah,No. of Casualties - Dead,822,24.927534539, 39.4918237173,Riyadh,242851,,
141,2016,Madinah,No. of Casualties - Dead,822,24.927534539, 39.4918237173,Al-Jouf,9371,,
142,2016,Madinah,No. of Casualties - Dead,822,24.927534539, 39.4918237173,Tabouk,13610,,
143,2016,Eastern Region,No. of Accidents,101619,23.2883307307, 50.1478302439,Al-Baha,4614,27.400845724, 41.4406960508
144,2016,Eastern Region,No. of Accidents,101619,23.2883307307, 50.1478302439,Northern Boarder,4958,,
145,2016,Eastern Region,No. of Accidents,101619,23.2883307307, 50.1478302439,Najran,2153,,
146,2016,Eastern Region,No. of Accidents,101619,23.2883307307, 50.1478302439,Makkah,136055,,
147,2016,Eastern Region,No. of Accidents,101619,23.2883307307, 50.1478302439,Madinah,24540,,
148,2016,Eastern Region,No. of Accidents,101619,23.2883307307, 50.1478302439,Al-Qaseem,9180,,
149,2016,Eastern Region,No. of Accidents,101619,23.2883307307, 50.1478302439,Hail,54507,,
150,2016,Eastern Region,No. of Accidents,101619,23.2883307307, 50.1478302439,Eastern,142307,,
151,2016,Eastern Region,No. of Accidents,101619,23.2883307307, 50.1478302439,Assir,41367,,
152,2016,Eastern Region,No. of Accidents,101619,23.2883307307, 50.1478302439,Jazan,11504,,
153,2016,Eastern Region,No. of Accidents,101619,23.2883307307, 50.1478302439,Riyadh,242851,,
154,2016,Eastern Region,No. of Accidents,101619,23.2883307307, 50.1478302439,Al-Jouf,9371,,
155,2016,Eastern Region,No. of Accidents,101619,23.2883307307, 50.1478302439,Tabouk,13610,,
156,2016,Eastern Region,No. of Casualties - Injured,4893,23.2883307307, 50.1478302439,Al-Baha,4614,27.400845724, 41.4406960508
157,2016,Eastern Region,No. of Casualties - Injured,4893,23.2883307307, 50.1478302439,Northern Boarder,4958,,
158,2016,Eastern Region,No. of Casualties - Injured,4893,23.2883307307, 50.1478302439,Najran,2153,,
159,2016,Eastern Region,No. of Casualties - Injured,4893,23.2883307307, 50.1478302439,Makkah,136055,,
160,2016,Eastern Region,No. of Casualties - Injured,4893,23.2883307307, 50.1478302439,Madinah,24540,,
161,2016,Eastern Region,No. of Casualties - Injured,4893,23.2883307307, 50.1478302439,Al-Qaseem,9180,,
162,2016,Eastern Region,No. of Casualties - Injured,4893,23.2883307307, 50.1478302439,Hail,54507,,
163,2016,Eastern Region,No. of Casualties - Injured,4893,23.2883307307, 50.1478302439,Eastern,142307,,
164,2016,Eastern Region,No. of Casualties - Injured,4893,23.2883307307, 50.1478302439,Assir,41367,,
165,2016,Eastern Region,No. of Casualties - Injured,4893,23.2883307307, 50.1478302439,Jazan,11504,,
166,2016,Eastern Region,No. of Casualties - Injured,4893,23.2883307307, 50.1478302439,Riyadh,242851,,
167,2016,Eastern Region,No. of Casualties - Injured,4893,23.2883307307, 50.1478302439,Al-Jouf,9371,,
168,2016,Eastern Region,No. of Casualties - Injured,4893,23.2883307307, 50.1478302439,Tabouk,13610,,
169,2016,Jazan,No. of Casualties - Injured,2259,17.2072313962, 42.6525807422,Al-Baha,4614,27.400845724, 41.4406960508
170,2016,Jazan,No. of Casualties - Injured,2259,17.2072313962, 42.6525807422,Northern Boarder,4958,,
171,2016,Jazan,No. of Casualties - Injured,2259,17.2072313962, 42.6525807422,Najran,2153,,
172,2016,Jazan,No. of Casualties - Injured,2259,17.2072313962, 42.6525807422,Makkah,136055,,
173,2016,Jazan,No. of Casualties - Injured,2259,17.2072313962, 42.6525807422,Madinah,24540,,
174,2016,Jazan,No. of Casualties - Injured,2259,17.2072313962, 42.6525807422,Al-Qaseem,9180,,
175,2016,Jazan,No. of Casualties - Injured,2259,17.2072313962, 42.6525807422,Hail,54507,,
176,2016,Jazan,No. of Casualties - Injured,2259,17.2072313962, 42.6525807422,Eastern,142307,,
177,2016,Jazan,No. of Casualties - Injured,2259,17.2072313962, 42.6525807422,Assir,41367,,
178,2016,Jazan,No. of Casualties - Injured,2259,17.2072313962, 42.6525807422,Jazan,11504,,
179,2016,Jazan,No. of Casualties - Injured,2259,17.2072313962, 42.6525807422,Riyadh,242851,,
180,2016,Jazan,No. of Casualties - Injured,2259,17.2072313962, 42.6525807422,Al-Jouf,9371,,
181,2016,Jazan,No. of Casualties - Injured,2259,17.2072313962, 42.6525807422,Tabouk,13610,,
182,2016,Al-Jouf,No. of Accidents,10212,29.9677445762, 39.5570371172,Al-Baha,4614,27.400845724, 41.4406960508
183,2016,Al-Jouf,No. of Accidents,10212,29.9677445762, 39.5570371172,Northern Boarder,4958,,
184,2016,Al-Jouf,No. of Accidents,10212,29.9677445762, 39.5570371172,Najran,2153,,
185,2016,Al-Jouf,No. of Accidents,10212,29.9677445762, 39.5570371172,Makkah,136055,,
186,2016,Al-Jouf,No. of Accidents,10212,29.9677445762, 39.5570371172,Madinah,24540,,
187,2016,Al-Jouf,No. of Accidents,10212,29.9677445762, 39.5570371172,Al-Qaseem,9180,,
188,2016,Al-Jouf,No. of Accidents,10212,29.9677445762, 39.5570371172,Hail,54507,,
189,2016,Al-Jouf,No. of Accidents,10212,29.9677445762, 39.5570371172,Eastern,142307,,
190,2016,Al-Jouf,No. of Accidents,10212,29.9677445762, 39.5570371172,Assir,41367,,
191,2016,Al-Jouf,No. of Accidents,10212,29.9677445762, 39.5570371172,Jazan,11504,,
192,2016,Al-Jouf,No. of Accidents,10212,29.9677445762, 39.5570371172,Riyadh,242851,,
193,2016,Al-Jouf,No. of Accidents,10212,29.9677445762, 39.5570371172,Al-Jouf,9371,,
194,2016,Al-Jouf,No. of Accidents,10212,29.9677445762, 39.5570371172,Tabouk,13610,,
195,2016,Asir,No. of Casualties - Dead,983,19.1387847401, 42.941470036,Al-Baha,4614,27.400845724, 41.4406960508
196,2016,Asir,No. of Casualties - Dead,983,19.1387847401, 42.941470036,Northern Boarder,4958,,
197,2016,Asir,No. of Casualties - Dead,983,19.1387847401, 42.941470036,Najran,2153,,
198,2016,Asir,No. of Casualties - Dead,983,19.1387847401, 42.941470036,Makkah,136055,,
199,2016,Asir,No. of Casualties - Dead,983,19.1387847401, 42.941470036,Madinah,24540,,
200,2016,Asir,No. of Casualties - Dead,983,19.1387847401, 42.941470036,Al-Qaseem,9180,,
201,2016,Asir,No. of Casualties - Dead,983,19.1387847401, 42.941470036,Hail,54507,,
202,2016,Asir,No. of Casualties - Dead,983,19.1387847401, 42.941470036,Eastern,142307,,
203,2016,Asir,No. of Casualties - Dead,983,19.1387847401, 42.941470036,Assir,41367,,
204,2016,Asir,No. of Casualties - Dead,983,19.1387847401, 42.941470036,Jazan,11504,,
205,2016,Asir,No. of Casualties - Dead,983,19.1387847401, 42.941470036,Riyadh,242851,,
206,2016,Asir,No. of Casualties - Dead,983,19.1387847401, 42.941470036,Al-Jouf,9371,,
207,2016,Asir,No. of Casualties - Dead,983,19.1387847401, 42.941470036,Tabouk,13610,,
208,2016,Asir,No. of Casualties - Injured,2541,19.1387847401, 42.941470036,Al-Baha,4614,27.400845724, 41.4406960508
209,2016,Asir,No. of Casualties - Injured,2541,19.1387847401, 42.941470036,Northern Boarder,4958,,
210,2016,Asir,No. of Casualties - Injured,2541,19.1387847401, 42.941470036,Najran,2153,,
211,2016,Asir,No. of Casualties - Injured,2541,19.1387847401, 42.941470036,Makkah,136055,,
212,2016,Asir,No. of Casualties - Injured,2541,19.1387847401, 42.941470036,Madinah,24540,,
213,2016,Asir,No. of Casualties - Injured,2541,19.1387847401, 42.941470036,Al-Qaseem,9180,,
214,2016,Asir,No. of Casualties - Injured,2541,19.1387847401, 42.941470036,Hail,54507,,
215,2016,Asir,No. of Casualties - Injured,2541,19.1387847401, 42.941470036,Eastern,142307,,
216,2016,Asir,No. of Casualties - Injured,2541,19.1387847401, 42.941470036,Assir,41367,,
217,2016,Asir,No. of Casualties - Injured,2541,19.1387847401, 42.941470036,Jazan,11504,,
218,2016,Asir,No. of Casualties - Injured,2541,19.1387847401, 42.941470036,Riyadh,242851,,
219,2016,Asir,No. of Casualties - Injured,2541,19.1387847401, 42.941470036,Al-Jouf,9371,,
220,2016,Asir,No. of Casualties - Injured,2541,19.1387847401, 42.941470036,Tabouk,13610,,
221,2016,Riyadh,No. of Casualties - Dead,1430,23.0814341634, 45.5857512766,Al-Baha,4614,27.400845724, 41.4406960508
222,2016,Riyadh,No. of Casualties - Dead,1430,23.0814341634, 45.5857512766,Northern Boarder,4958,,
223,2016,Riyadh,No. of Casualties - Dead,1430,23.0814341634, 45.5857512766,Najran,2153,,
224,2016,Riyadh,No. of Casualties - Dead,1430,23.0814341634, 45.5857512766,Makkah,136055,,
225,2016,Riyadh,No. of Casualties - Dead,1430,23.0814341634, 45.5857512766,Madinah,24540,,
226,2016,Riyadh,No. of Casualties - Dead,1430,23.0814341634, 45.5857512766,Al-Qaseem,9180,,
227,2016,Riyadh,No. of Casualties - Dead,1430,23.0814341634, 45.5857512766,Hail,54507,,
228,2016,Riyadh,No. of Casualties - Dead,1430,23.0814341634, 45.5857512766,Eastern,142307,,
229,2016,Riyadh,No. of Casualties - Dead,1430,23.0814341634, 45.5857512766,Assir,41367,,
230,2016,Riyadh,No. of Casualties - Dead,1430,23.0814341634, 45.5857512766,Jazan,11504,,
231,2016,Riyadh,No. of Casualties - Dead,1430,23.0814341634, 45.5857512766,Riyadh,242851,,
232,2016,Riyadh,No. of Casualties - Dead,1430,23.0814341634, 45.5857512766,Al-Jouf,9371,,
233,2016,Riyadh,No. of Casualties - Dead,1430,23.0814341634, 45.5857512766,Tabouk,13610,,
234,2016,Riyadh,No. of Accidents,141736,23.0814341634, 45.5857512766,Al-Baha,4614,27.400845724, 41.4406960508
235,2016,Riyadh,No. of Accidents,141736,23.0814341634, 45.5857512766,Northern Boarder,4958,,
236,2016,Riyadh,No. of Accidents,141736,23.0814341634, 45.5857512766,Najran,2153,,
237,2016,Riyadh,No. of Accidents,141736,23.0814341634, 45.5857512766,Makkah,136055,,
238,2016,Riyadh,No. of Accidents,141736,23.0814341634, 45.5857512766,Madinah,24540,,
239,2016,Riyadh,No. of Accidents,141736,23.0814341634, 45.5857512766,Al-Qaseem,9180,,
240,2016,Riyadh,No. of Accidents,141736,23.0814341634, 45.5857512766,Hail,54507,,
241,2016,Riyadh,No. of Accidents,141736,23.0814341634, 45.5857512766,Eastern,142307,,
242,2016,Riyadh,No. of Accidents,141736,23.0814341634, 45.5857512766,Assir,41367,,
243,2016,Riyadh,No. of Accidents,141736,23.0814341634, 45.5857512766,Jazan,11504,,
244,2016,Riyadh,No. of Accidents,141736,23.0814341634, 45.5857512766,Riyadh,242851,,
245,2016,Riyadh,No. of Accidents,141736,23.0814341634, 45.5857512766,Al-Jouf,9371,,
246,2016,Riyadh,No. of Accidents,141736,23.0814341634, 45.5857512766,Tabouk,13610,,
247,2016,Makkah,No. of Accidents,134838,21.628962766, 41.2636898334,Al-Baha,4614,27.400845724, 41.4406960508
248,2016,Makkah,No. of Accidents,134838,21.628962766, 41.2636898334,Northern Boarder,4958,,
249,2016,Makkah,No. of Accidents,134838,21.628962766, 41.2636898334,Najran,2153,,
250,2016,Makkah,No. of Accidents,134838,21.628962766, 41.2636898334,Makkah,136055,,
251,2016,Makkah,No. of Accidents,134838,21.628962766, 41.2636898334,Madinah,24540,,
252,2016,Makkah,No. of Accidents,134838,21.628962766, 41.2636898334,Al-Qaseem,9180,,
253,2016,Makkah,No. of Accidents,134838,21.628962766, 41.2636898334,Hail,54507,,
254,2016,Makkah,No. of Accidents,134838,21.628962766, 41.2636898334,Eastern,142307,,
255,2016,Makkah,No. of Accidents,134838,21.628962766, 41.2636898334,Assir,41367,,
256,2016,Makkah,No. of Accidents,134838,21.628962766, 41.2636898334,Jazan,11504,,
257,2016,Makkah,No. of Accidents,134838,21.628962766, 41.2636898334,Riyadh,242851,,
258,2016,Makkah,No. of Accidents,134838,21.628962766, 41.2636898334,Al-Jouf,9371,,
259,2016,Makkah,No. of Accidents,134838,21.628962766, 41.2636898334,Tabouk,13610,,
260,2016,Madinah,No. of Accidents,14475,24.927534539, 39.4918237173,Al-Baha,4614,27.400845724, 41.4406960508
261,2016,Madinah,No. of Accidents,14475,24.927534539, 39.4918237173,Northern Boarder,4958,,
262,2016,Madinah,No. of Accidents,14475,24.927534539, 39.4918237173,Najran,2153,,
263,2016,Madinah,No. of Accidents,14475,24.927534539, 39.4918237173,Makkah,136055,,
264,2016,Madinah,No. of Accidents,14475,24.927534539, 39.4918237173,Madinah,24540,,
265,2016,Madinah,No. of Accidents,14475,24.927534539, 39.4918237173,Al-Qaseem,9180,,
266,2016,Madinah,No. of Accidents,14475,24.927534539, 39.4918237173,Hail,54507,,
267,2016,Madinah,No. of Accidents,14475,24.927534539, 39.4918237173,Eastern,142307,,
268,2016,Madinah,No. of Accidents,14475,24.927534539, 39.4918237173,Assir,41367,,
269,2016,Madinah,No. of Accidents,14475,24.927534539, 39.4918237173,Jazan,11504,,
270,2016,Madinah,No. of Accidents,14475,24.927534539, 39.4918237173,Riyadh,242851,,
271,2016,Madinah,No. of Accidents,14475,24.927534539, 39.4918237173,Al-Jouf,9371,,
272,2016,Madinah,No. of Accidents,14475,24.927534539, 39.4918237173,Tabouk,13610,,
